Statement,Link,Date,Source,Label,category
"Says Joe Biden is “now saying he inherited ‘a mess’ at the border. Fact: 9,000 illegals all of 2020. So far in 2021 108,000 entered U.S.”",https://www.politifact.com/factchecks/2021/mar/17/facebook-posts/facebook-post-misleads-number-border-apprehensions/,"arch 17, 2021",Facebook posts,FALSE,fake
"Says Kamala Harris said, “We will be shuttering the VA… the money saved will go to better use in assisting refugee families.”",https://www.politifact.com/factchecks/2021/mar/17/viral-image/no-harris-didnt-say-biden-administration-closing-v/,"arch 17, 2021",Viral image,pants-fire,fake
"Diesel prices jumped from $1.69 to $3.19 since Biden took office, and the president is to blame.",https://www.politifact.com/factchecks/2021/mar/17/facebook-posts/biden-not-blame-rising-diesel-or-gas-prices/,"arch 17, 2021",Facebook posts,pants-fire,fake
Says a lack of transparency for small-dollar donations is the “same thing” as dark money,https://www.politifact.com/factchecks/2021/mar/17/thom-tillis/experts-tillis-wrong-compare-small-dollar-donation/,"arch 16, 2021",Thom Tillis,barely-true,fake
"Says “Fallon (Fox), a transgender MMA fighter, has now broken 2 female opponents’ skulls,” and shows a photo of Fox alongside an MMA fighter with a severely bloodied face.",https://www.politifact.com/factchecks/2021/mar/16/facebook-posts/social-media-posts-mislead-about-transgender-mma-f/,"arch 16, 2021",Facebook posts,barely-true,fake
“Donald J. Trump’s signature is on the new stimulus checks.”,https://www.politifact.com/factchecks/2021/mar/16/facebook-posts/no-trumps-signature-wont-be-new-stimulus-checks-bi/,"arch 16, 2021",Facebook posts,FALSE,fake
"The COVID economic relief package “included $600 million for San Francisco, part of which goes to cover the tab for free alcohol and marijuana for the homeless.""",https://www.politifact.com/factchecks/2021/mar/16/kevin-mccarthy/no-federal-relief-dollars-san-francisco-wont-pay-p/,"arch 16, 2021",Kevin McCarthy,FALSE,fake
Hank Aaron and Marvelous Marvin Hagler died “after taking the COVID-19 vaccine.”,https://www.politifact.com/factchecks/2021/mar/16/aubrey-huff/claim-blaming-covid-vaccine-hank-aaron-marvin-hagl/,"arch 16, 2021",Aubrey Huff,FALSE,fake
"""90% of Americans do not support universal background checks.""",https://www.politifact.com/factchecks/2021/mar/15/colion-noir/universal-background-check-support-near-90-most-re/,"arch 15, 2021",Colion Noir,FALSE,fake
"Vaccines send the immune system into “perpetual overdrive” by instructing cells to keep “making the protein of an invader, nonstop, forever and ever.”",https://www.politifact.com/factchecks/2021/mar/15/facebook-posts/no-mrna-vaccines-dont-send-immune-system-perpetual/,"arch 15, 2021",Facebook posts,FALSE,fake
“Fauci admits he isn’t listening to the science when advocating policy.”,https://www.politifact.com/factchecks/2021/mar/15/facebook-posts/no-fauci-didnt-admit-hes-not-listening-covid-19-sc/,"arch 15, 2021",Facebook posts,FALSE,fake
Tenured professors are guaranteed a job.,https://www.politifact.com/factchecks/2021/mar/15/iowa-gop-state-legislators/tenure-protects-academic-freedom-faculty-arent-gua/,"arch 15, 2021",Iowa GOP state legislators,barely-true,fake
"“Illegal aliens will receive $1,400 stimulus checks.”",https://www.politifact.com/factchecks/2021/mar/12/facebook-posts/most-immigrants-us-illegally-not-eligible-direct-1/,"arch 12, 2021",Facebook posts,barely-true,fake
Says Meghan Markle was paid $7 million for giving an interview to Oprah.,https://www.politifact.com/factchecks/2021/mar/12/viral-image/no-prince-harry-and-meghan-markle-were-not-paid-7-/,"arch 12, 2021",Viral image,FALSE,fake
Says Rachel Levine “is telling us that Dr. Seuss books and Mr. Potato Head are bad for the children.”,https://www.politifact.com/factchecks/2021/mar/12/viral-image/no-rachel-levine-didnt-say-dr-seuss-books-and-mr-p/,"arch 12, 2021",Viral image,FALSE,fake
There are nanoparticles in the COVID-19 vaccine that will help people “locate you” via 5G networks.,https://www.politifact.com/factchecks/2021/mar/12/facebook-posts/no-covid-19-vaccines-do-not-contain-nanoparticles-/,"arch 12, 2021",Facebook posts,pants-fire,fake
"Says President Joe Biden promoted ""mandatory vaccines for everybody"" in his March 11 address.",https://www.politifact.com/factchecks/2021/mar/12/facebook-posts/no-biden-didnt-promote-mandatory-covid-19-vaccines/,"arch 12, 2021",Facebook posts,FALSE,fake
"“Next week has a time change, full moon and Friday the 13th.”",https://www.politifact.com/factchecks/2021/mar/12/viral-image/no-time-change-full-moon-and-friday-13th-dont-all-/,"arch 12, 2021",Viral image,FALSE,fake
Says El Chapo testified in court that he paid off Nancy Pelosi to keep the U.S.-Mexico border open for drug cartels.,https://www.politifact.com/factchecks/2021/mar/12/facebook-posts/no-el-chapo-didnt-testify-he-paid-pelosi/,"arch 12, 2021",Facebook posts,pants-fire,fake
Says Oprah Winfrey for years “pimped young Hollywood girls to Harvey Weinstein to be raped.”,https://www.politifact.com/factchecks/2021/mar/11/facebook-posts/no-evidence-oprah-helped-harvey-weinstein-abuse-wo/,"arch 11, 2021",Facebook posts,pants-fire,fake
"“Nevada AG admits to changing signature verifications manually for over 200,000 votes.”",https://www.politifact.com/factchecks/2021/mar/11/facebook-posts/no-nevadas-attorney-general-didnt-admit-changing-s/,"arch 11, 2021",Facebook posts,FALSE,fake
“Navy SEALs arrest Hillary Clinton.”,https://www.politifact.com/factchecks/2021/mar/11/blog-posting/no-navy-seals-didnt-arrest-hillary-clinton/,"arch 11, 2021",Bloggers,pants-fire,fake
“The Biden Administration is recklessly releasing hundreds of illegal immigrants who have COVID into Texas communities.”,https://www.politifact.com/factchecks/2021/mar/11/greg-abbott/abbott-exaggerates-covid-19-concerns-among-migrant/,"arch 11, 2021",Greg Abbott,barely-true,fake
"Vitamin D, vitamin C, colloidal silver and black seed oil can kill the coronavirus.",https://www.politifact.com/factchecks/2021/mar/11/instagram-posts/theres-no-scientific-evidence-support-these-supple/,"arch 11, 2021",Instagram posts,FALSE,fake
“Schumer and Pelosi sneak funding into COVID bill.”,https://www.politifact.com/factchecks/2021/mar/11/blog-posting/did-schumer-and-pelosi-sneak-money-covid-19-relief/,"arch 11, 2021",Bloggers,FALSE,fake
"The $1.9 trillion COVID-19 relief bill ""awards a $25 million bonus"" to House members.",https://www.politifact.com/factchecks/2021/mar/11/facebook-posts/stimulus-bill-bestows-25-million-bonus-house-membe/,"arch 11, 2021",Facebook posts,pants-fire,fake
"Under HR 1, a person can still vote if they are 16, in the U.S. illegally, have no ID and have not registered to vote",https://www.politifact.com/factchecks/2021/mar/10/facebook-posts/cartoon-misleads-about-voter-eligibility-under-hr-/,"arch 10, 2021",Facebook posts,barely-true,fake
“Biden is making ‘maternity flight suits’ so pregnant women can fight in the military.”,https://www.politifact.com/factchecks/2021/mar/10/blog-posting/air-force-introduced-maternity-flight-duty-uniform/,"arch 10, 2021",Bloggers,barely-true,fake
Says H.R. 1 “allows minors to vote.”,https://www.politifact.com/factchecks/2021/mar/10/ted-budd/no-hr-1-doesnt-allow-minors-vote/,"arch 10, 2021",Ted Budd,FALSE,fake
Says Alexandria Ocasio-Cortez's net worth is “over $1 million.”,https://www.politifact.com/factchecks/2021/mar/10/facebook-posts/aocs-net-worth-over-1-million-s-pants-fire/,"arch 10, 2021",Facebook posts,pants-fire,fake
A video shows a nurse pretending to vaccinate actor Anthony Hopkins before squirting fluid in the syringe on the floor.,https://www.politifact.com/factchecks/2021/mar/10/instagram-posts/nurse-didnt-pretend-vaccinate-anthony-hopkins-vide/,"arch 10, 2021",Instagram posts,FALSE,fake
Says Joe Biden executive orders caused price increases of 50 cents in gas and 10% in food.,https://www.politifact.com/factchecks/2021/mar/10/facebook-posts/no-price-gas-isnt-50-cents-price-food-isnt-10-unde/,"arch 10, 2021",Facebook posts,FALSE,fake
“Schools banning Dr. Seuss books.”,https://www.politifact.com/factchecks/2021/mar/10/viral-image/no-schools-arent-banning-seuss-books/,"arch 10, 2021",Viral image,FALSE,fake
“Ballots in Arizona’s Maricopa County” from the 2020 presidential election “found shredded and in dumpster days before Senate audit to begin.”,https://www.politifact.com/factchecks/2021/mar/09/gateway-pundit/no-evidence-dumpster-dive-found-2020-cast-ballots-/,9-Mar-21,The Gateway Pundit,FALSE,fake
Says Oprah Winfrey was wearing an ankle monitor during her Meghan Markle interview.,https://www.politifact.com/factchecks/2021/mar/09/facebook-posts/no-oprah-wasnt-wearing-ankle-monitor-her-meghan-ma/,9-Mar-21,Facebook posts,pants-fire,fake
"A study “suggests that even after two years of hormone therapy, biological boys still maintain significant advantages over girls, including being 12% faster on the 1.5-mile run.”",https://www.politifact.com/factchecks/2021/mar/09/roger-marshall/kansas-senator-leaves-out-context-claim-about-tran/,9-Mar-21,Roger Marshall,barely-true,fake
Video suggests Dr. Anthony Fauci said vaccines don’t protect against COVID-19.,https://www.politifact.com/factchecks/2021/mar/08/instagram-posts/misleading-video-suggests-dr-anthony-fauci-said-va/,8-Mar-21,Instagram posts,FALSE,fake
"“When I came into office, the prior administration had contracted for not nearly enough vaccine to cover adults in America.”",https://www.politifact.com/factchecks/2021/mar/05/joe-biden/bidens-criticism-trump-administration-vaccine-cont/,5-Mar-21,Joe Biden,barely-true,fake
"Says the NC elections board “did not change state law.""",https://www.politifact.com/factchecks/2021/mar/05/karen-brinson-bell/nc-elections-board-leader-downplays-rule-changes/,5-Mar-21,Karen Brinson Bell,barely-true,fake
"The voting bill known as H.R. 1 would mean “that millions of illegal immigrants are quickly registered to vote.""",https://www.politifact.com/factchecks/2021/mar/05/mike-pence/pence-falsely-says-if-hr-1-passes-millions-people-/,5-Mar-21,Mike Pence,FALSE,fake
H.R. 1 “would allow the Boston bomber to have a right to vote.”,https://www.politifact.com/factchecks/2021/mar/05/charlie-kirk/no-hr-1-would-not-allow-boston-marathon-bomber-vot/,5-Mar-21,Charlie Kirk,FALSE,fake
Video shows someone wearing an Anthony Fauci mask.,https://www.politifact.com/factchecks/2021/mar/05/viral-image/no-isnt-video-someone-wearing-fauci-mask/,5-Mar-21,Viral image,pants-fire,fake
“Biden took down Dr. Seuss and Mr. Potato Head.”,https://www.politifact.com/factchecks/2021/mar/05/facebook-posts/biden-wasnt-involved-dr-seuss-or-mr-potato-head-ch/,5-Mar-21,Facebook posts,FALSE,fake
Photos show U.S. senators sleeping in the chamber.,https://www.politifact.com/factchecks/2021/mar/05/viral-image/photos-show-uk-lords-sleeping-not-us-senators/,5-Mar-21,Viral image,FALSE,fake
Says 5-year-olds can “take hormones and change my sex.”,https://www.politifact.com/factchecks/2021/mar/05/viral-image/no-young-children-cannot-take-hormones-or-change-t/,5-Mar-21,Viral image,FALSE,fake
“NASA discovers THC on meteorite fragment.”,https://www.politifact.com/factchecks/2021/mar/04/viral-image/no-nasa-didnt-discover-thc-meteorite-fragment/,4-Mar-21,Viral image,pants-fire,fake
"The voting bill known as H.R. 1 ""would force states to adopt universal mail-in ballots.”",https://www.politifact.com/factchecks/2021/mar/04/mike-pence/mike-pence-wrong-hr-1-forces-states-shift-universa/,4-Mar-21,Mike Pence,FALSE,fake
"""Some people are going to die from the vaccine directly. But a large number of people are going to start getting horribly sick and get all kinds of autoimmune diseases.""",https://www.politifact.com/factchecks/2021/mar/04/sherri-tenpenny/covid-19-vaccine-does-not-cause-death-autoimmune-d/,4-Mar-21,Sherri Tenpenny,pants-fire,fake
H.R. 1 would “prevent removal of ineligible voters from registration rolls.”,https://www.politifact.com/factchecks/2021/mar/04/elise-stefanik/gop-lawmaker-misleads-about-hr-1-and-removal-ineli/,4-Mar-21,Elise Stefanik,FALSE,fake
"""Marco Rubio's 'red flag' gun confiscation bill"" calls for guns to be confiscated ""without due process, based on unsubstantiated accusations.""",https://www.politifact.com/factchecks/2021/mar/04/national-association-gun-rights/no-rubios-red-flag-bill-would-not-allow-gun-confis/,4-Mar-21,National Association for Gun Rights,barely-true,fake
"""While he was president, President Trump never encouraged Americans to get vaccinated.""",https://www.politifact.com/factchecks/2021/mar/04/rachel-maddow/what-trump-said-encourage-covid-19-vaccine-use/,4-Mar-21,Rachel Maddow,FALSE,fake
Republicans are “trying to create a fake unemployment insurance crisis.”,https://www.politifact.com/factchecks/2021/mar/04/gordon-hintz/no-unemployment-not-fake-crisis-wisconsin/,4-Mar-21,Gordon Hintz,FALSE,fake
"Says Donald Trump will be re-inaugurated as president on March 4, 2021.",https://www.politifact.com/factchecks/2021/mar/03/facebook-posts/donald-trump-will-not-be-re-inaugurated-president-/,3-Mar-21,Facebook posts,pants-fire,fake
"""The fastest-growing population in the United States is Hispanic.""",https://www.politifact.com/factchecks/2021/mar/03/joe-biden/biden-wrong-about-fastest-growing-population-group/,3-Mar-21,Joe Biden,barely-true,fake
"Says he requested “10,000 National Guardsmen” for his Jan. 6 rally, but Nancy Pelosi “rejected it.”",https://www.politifact.com/factchecks/2021/mar/02/donald-trump/no-proof-trump-requested-10000-guard-troops-jan-6-/,2-Mar-21,Donald Trump,FALSE,fake
Says Rachel Levine supports “government-funded sex reassignment surgery without parental notification or authorization” for all children.,https://www.politifact.com/factchecks/2021/mar/02/facebook-posts/rachel-levine-does-not-support-gender-confirmation/,2-Mar-21,Facebook posts,FALSE,fake
Says a photo at CPAC shows evangelical leaders praying over a golden statue of former President Donald Trump.,https://www.politifact.com/factchecks/2021/mar/02/viral-image/photo-faith-leaders-praying-over-golden-trump-stat/,2-Mar-21,Viral image,FALSE,fake
“Instagram has been limiting our posts so that no more than 7% of our friends see our posts.”,https://www.politifact.com/factchecks/2021/mar/02/viral-image/no-instagram-isnt-limiting-your-posts/,2-Mar-21,Viral image,FALSE,fake
HR 1 “automatically registers every welfare recipient to vote.”,https://www.politifact.com/factchecks/2021/mar/02/donald-trump/trump-misleads-about-hr-1-and-voter-registration-w/,2-Mar-21,Donald Trump,barely-true,fake
"The $1.9 trillion relief package is “about a bridge for Chuck Schumer, a tunnel for Nancy Pelosi.”",https://www.politifact.com/factchecks/2021/mar/02/rick-scott/gop-treats-trump-era-projects-pandemic-bill-democr/,2-Mar-21,Rick Scott,barely-true,fake
“All of the science and data say it’s perfectly safe to have teachers and students in the classroom.”,https://www.politifact.com/factchecks/2021/mar/02/pete-snyder/contrary-pete-snyder-covid-studies-dont-say-openin/,2-Mar-21,Pete Snyder,FALSE,fake
Says Nancy Pelosi bought $1.5 million “in foreign oil stock day before shut down of American line.”,https://www.politifact.com/factchecks/2021/mar/01/facebook-posts/nancy-pelosi-did-not-buy-foreign-oil-stock-executi/,1-Mar-21,Facebook posts,FALSE,fake
“More than 91% of the spending in this $1.9 trillion package is not used for pandemic relief.”,https://www.politifact.com/factchecks/2021/mar/01/scott-fitzgerald/fitzgerald-overstates-claim-pork-covid-19-relief-b/,1-Mar-21,Scott Fitzgerald,barely-true,fake
"“America has 133 million registered voters,” but “159 million votes” were cast in the 2020 presidential election.",https://www.politifact.com/factchecks/2021/mar/01/facebook-posts/no-there-werent-more-votes-registered-voters-2020-/,1-Mar-21,Facebook posts,FALSE,fake
"Says Kaleb Torres, a young spokesperson for Shriners Hospitals for Children, has died.",https://www.politifact.com/factchecks/2021/mar/01/facebook-posts/no-kaleb-shriners-hospitals-commercials-didnt-die/,1-Mar-21,Facebook posts,FALSE,fake
"Says Joe Biden “has effectively ordered a shutdown of ICE, halting virtually all deportations, everyone, murderers, everybody, no more.”",https://www.politifact.com/factchecks/2021/mar/01/donald-trump/cpac-return-trump-falsely-claims-biden-halted-all-/,1-Mar-21,Donald Trump,FALSE,fake
Identification is required “to get into Washington DC.”,https://www.politifact.com/factchecks/2021/mar/01/facebook-posts/no-id-isnt-required-visit-dc/,1-Mar-21,Facebook posts,FALSE,fake
"“Biden’s plan will immediately let in 25,000 asylum-seekers who’d been waiting in Mexico as their cases were judged.”",https://www.politifact.com/factchecks/2021/mar/01/ron-johnson/johnson-overreaches-asylum-seeker-claim/,1-Mar-21,Ron Johnson,barely-true,fake
Says the Atlanta mayor is “shutting the city down for” the NBA All-Star Game weekend.,https://www.politifact.com/factchecks/2021/mar/01/facebook-posts/no-atlantas-mayor-not-shutting-down-city-nba-all-s/,1-Mar-21,Facebook posts,FALSE,fake
"The Biden administration “halted deportations for all illegal aliens — murderers, rapists, terrorists, MS-13 gang members are not being deported.""",https://www.politifact.com/factchecks/2021/feb/26/tom-cotton/tom-cotton-falsely-claims-joe-biden-halted-deporta/,"uary 26, 2021",Tom Cotton,FALSE,fake
"“New York, for all of their complaining, Gov. Cuomo's complaining, has only had a 1.5% decrease in revenue” due to the coronavirus pandemic.",https://www.politifact.com/factchecks/2021/feb/26/bill-cassidy/how-much-did-new-yorks-revenue-suffer-pandemic-yea/,"uary 26, 2021",Bill Cassidy,barely-true,fake
"“If you take the vaccine, you'll be enrolled in a pharmacovigilance tracking system. It means that you've enrolled yourself in a medical trial.”",https://www.politifact.com/factchecks/2021/feb/26/simone-gold/receiving-covid-19-does-not-enroll-you-government-/,"uary 26, 2021",Simone Gold,FALSE,fake
Says Jerry Nadler said “God has no authority in the House of Representatives”,https://www.politifact.com/factchecks/2021/feb/26/facebook-posts/jerry-nadler-didnt-say-god-has-no-authority-house-/,"uary 26, 2021",Facebook posts,FALSE,fake
"The COVID-19 vaccine could lead to prion diseases, Alzheimer’s, ALS and other neurodegenerative diseases.",https://www.politifact.com/factchecks/2021/feb/26/j-bart-classen/coronavirus-vaccine-doesnt-cause-alzheimers-als/,"uary 26, 2021",J. Bart Classen,pants-fire,fake
"Due to differing lockdown orders, New York has more COVID-19 cases, deaths, hospitalizations and job losses than Florida, and New York also lags on vaccinations.",https://www.politifact.com/factchecks/2021/feb/26/instagram-posts/chart-comparing-new-york-and-florida-covid-19-flaw/,"uary 26, 2021",Instagram posts,barely-true,fake
“Subsidizing investment in wind has pushed gas and nuclear out. Now we live with the consequences.”,https://www.politifact.com/factchecks/2021/feb/26/dan-crenshaw/wind-subsidies-arent-pushing-out-nuclear-natural-g/,"uary 26, 2021",Dan Crenshaw,FALSE,fake
Says Joe Biden said a racial slur.,https://www.politifact.com/factchecks/2021/feb/26/facebook-posts/joe-biden-stumbled-over-his-words-recent-speech/,"uary 26, 2021",Facebook posts,FALSE,fake
Insulin prices rose “with the swipe of (Joe Biden’s) pen.”,https://www.politifact.com/factchecks/2021/feb/25/facebook-posts/facebook-posts-blaming-biden-insulin-prices-miss-m/,"uary 25, 2021",Facebook posts,FALSE,fake
